Station,Train No,Time
CHURCHGATE,93001,
CHURCHGATE,93003,
CHURCHGATE,93005,05:03
CHURCHGATE,93007,05:52
CHURCHGATE,93009,07:11
CHURCHGATE,93011,07:42
CHURCHGATE,93013,
CHURCHGATE,93015,08:49
CHURCHGATE,93017,
CHURCHGATE,93019,10:03
CHURCHGATE,93021,
CHURCHGATE,93023,
CHURCHGATE,93025,
CHURCHGATE,93027,
CHURCHGATE,93029,
CHURCHGATE,93031,15:18
CHURCHGATE,93033,
CHURCHGATE,93035,
CHURCHGATE,93037,
CHURCHGATE,93039,
CHURCHGATE,93041,20:20
Marine Lines,93001,
Marine Lines,93003,
Marine Lines,93005,05:06
Marine Lines,93007,05:55
Marine Lines,93009,07:14
Marine Lines,93011,07:45
Marine Lines,93013,
Marine Lines,93015,08:52
Marine Lines,93017,
Marine Lines,93019,10:06
Marine Lines,93021,
Marine Lines,93023,
Marine Lines,93025,
Marine Lines,93027,
Marine Lines,93029,
Marine Lines,93031,15:21
Marine Lines,93033,
Marine Lines,93035,
Marine Lines,93037,
Marine Lines,93039,
Marine Lines,93041,20:23
Charni Road,93001,
Charni Road,93003,
Charni Road,93005,05:09
Charni Road,93007,05:58
Charni Road,93009,07:17
Charni Road,93011,07:47
Charni Road,93013,
Charni Road,93015,08:54
Charni Road,93017,
Charni Road,93019,10:08
Charni Road,93021,
Charni Road,93023,
Charni Road,93025,
Charni Road,93027,
Charni Road,93029,
Charni Road,93031,15:23
Charni Road,93033,
Charni Road,93035,
Charni Road,93037,
Charni Road,93039,
Charni Road,93041,20:25
Grant Road,93001,
Grant Road,93003,
Grant Road,93005,05:11
Grant Road,93007,06:01
Grant Road,93009,07:19
Grant Road,93011,07:50
Grant Road,93013,
Grant Road,93015,08:57
Grant Road,93017,
Grant Road,93019,10:11
Grant Road,93021,
Grant Road,93023,
Grant Road,93025,
Grant Road,93027,
Grant Road,93029,
Grant Road,93031,15:26
Grant Road,93033,
Grant Road,93035,
Grant Road,93037,
Grant Road,93039,
Grant Road,93041,20:28
MUMBAI CENTRAL (L),93001,
MUMBAI CENTRAL (L),93003,
MUMBAI CENTRAL (L),93005,05:13
MUMBAI CENTRAL (L),93007,06:05
MUMBAI CENTRAL (L),93009,07:22
MUMBAI CENTRAL (L),93011,07:52
MUMBAI CENTRAL (L),93013,
MUMBAI CENTRAL (L),93015,08:59
MUMBAI CENTRAL (L),93017,
MUMBAI CENTRAL (L),93019,10:13
MUMBAI CENTRAL (L),93021,
MUMBAI CENTRAL (L),93023,
MUMBAI CENTRAL (L),93025,
MUMBAI CENTRAL (L),93027,
MUMBAI CENTRAL (L),93029,
MUMBAI CENTRAL (L),93031,15:28
MUMBAI CENTRAL (L),93033,
MUMBAI CENTRAL (L),93035,
MUMBAI CENTRAL (L),93037,
MUMBAI CENTRAL (L),93039,
MUMBAI CENTRAL (L),93041,20:30
DADAR,93001,
DADAR,93003,
