Stations,93002,93004,93006,93008,93010,93012,93014,93016,93018,93020,93022,93024,93026,93028,93030,93032,93034,93036,93038,93040,93042
DAHANU ROAD,04:40,06:05,07:00,07:10,08:35,09:37,10:25,10:35,11:35,12:20,12:52,13:20,14:02,15:15,16:05,17:10,17:45,19:05,19:45,20:45,22:45
Vangaon,04:53,06:18,07:14,07:25,08:50,09:50,10:39,10:49,11:50,12:35,13:07,13:35,14:17,15:30,16:20,17:25,18:01,19:20,20:02,21:02,22:58
Boisar,05:00,06:26,07:22,07:33,08:58,09:58,10:47,10:57,11:58,12:46,13:15,13:43,14:37,15:38,16:28,17:33,18:10,19:27,20:15,21:17,23:05
Umroli,05:05,06:31,07:28,07:39,09:04,10:04,10:53,11:03,12:04,12:53,13:21,13:49,14:43,15:44,16:34,17:39,18:16,19:33,20:21,21:23,23:10
PALGHAR,05:11,06:37,07:34,07:46,09:10,10:10,10:59,11:09,12:10,13:00,13:27,13:55,14:49,15:53,16:40,17:45,18:22,19:39,20:27,21:29,23:15
Kelve Road,05:23,06:45,07:42,08:05,09:18,10:20,11:07,11:17,12:18,13:08,13:35,14:03,14:57,16:12,16:48,17:53,18:30,19:47,20:35,21:37,23:23
Saphale,05:29,06:51,07:48,08:11,09:24,10:32,11:13,11:23,12:24,13:14,13:41,14:09,15:03,16:18,16:54,17:59,18:36,19:53,20:41,21:43,23:29
Vaitarna,05:37,06:58,07:55,08:18,09:34,10:40,11:21,11:30,12:32,13:21,13:48,14:17,15:11,16:26,17:02,18:07,18:44,20:02,20:48,21:51,23:36
VIRAR,05:47,07:08,08:10,08:30,09:49,10:55,11:32,11:45,12:47,13:37,13:57,14:32,15:21,16:39,17:15,18:28,18:57,20:16,20:59,22:05,23:50
Nallasopara,,,,,,,,,,,,,,,,,,,,,
VASAI ROAD,05:57,07:16,,08:40,09:59,,,,,,14:07,,15:32,16:52,,,19:09,20:24,21:07,,
Naigaon,,,,,,,,,,,,,,,,,,,,,
Bhayandar,06:05,07:24,,08:48,10:08,,,,,,14:15,,15:40,17:02,,,19:17,20:32,21:15,,
Mira Road,,,,,,,,,,,,,,,,,,,,,
Dahisar,,,,,,,,,,,,,,,,,,,,,
BORIVALI,06:18,07:34,,09:05,10:21,,,,,,14:24,,15:53,17:13,,,19:29,20:40,21:23,,
ANDHERI,06:30,07:48,,09:18,,,,,,,14:36,,16:09,17:29,,,19:45,20:53,21:36,,
BANDRA,06:38,07:57,,09:28,,,,,,,14:45,,16:19,17:39,,,19:54,21:02,21:45,,
DADAR,06:44,08:03,,09:34,,,,,,,14:51,,16:24,,,,20:00,21:08,21:51,,
MUMBAI CENTRAL (L),06:51,08:10,,09:41,,,,,,,14:58,,16:31,,,,20:07,21:15,21:58,,
Grant Road,06:53,08:12,,09:43,,,,,,,15:00,,16:33,,,,,21:17,22:00,,
Charni Road,06:55,08:14,,09:45,,,,,,,15:02,,16:35,,,,,21:19,22:02,,
Marine Lines,06:58,08:17,,09:48,,,,,,,15:05,,16:38,,,,,21:22,22:05,,
CHURCHGATE,07:05,08:23,,09:56,,,,,,,15:09,,16:43,,,,20:16,21:27,22:09,,
